id,nome,votos
1,The Godfather,2500000
2,The Shawshank Redemption,2800000
3,Schindler's List,1400000
4,The Dark Knight,2700000
5,12 Angry Men,850000
6,The Godfather Part II,1300000
7,Pulp Fiction,2100000
8,The Lord of the Rings: The Return of the King,1900000
9,Il buono il brutto il cattivo,790000
10,Fight Club,2200000
11,Forrest Gump,2200000
12,Inception,2400000
13,The Lord of the Rings: The Fellowship of the Ring,1900000
14,The Lord of the Rings: The Two Towers,1700000
15,Star Wars: Episode V - The Empire Strikes Back,1300000
16,The Matrix,2000000
17,Goodfellas,1200000
18,One Flew Over the Cuckoo's Nest,1000000
19,Se7en,1700000
20,Shichinin no Samurai,360000
21,It's a Wonderful Life,480000
22,The Silence of the Lambs,1500000
23,Saving Private Ryan,1400000
24,Cidade de Deus,780000
25,Interstellar,2000000
26,La vita e bella,730000
27,The Green Mile,1300000
28,Star Wars: Episode IV - A New Hope,1400000
29,Terminator 2: Judgment Day,1100000
30,Back to the Future,1200000
31,Spirited Away,820000
32,The Pianist,880000
33,Psycho,700000
34,Parasite,920000
35,Leon: The Professional,1200000
36,The Lion King,1100000
37,Gladiator,1600000
38,American History X,1100000
39,The Departed,1400000
40,The Usual Suspects,1100000
41,The Prestige,1400000
42,Casablanca,600000
43,Whiplash,950000
44,The Intouchables,900000
45,Modern Times,260000
46,Once Upon a Time in the West,340000
47,Hara-kiri,65000
48,Grave of the Fireflies,300000
49,Rear Window,520000
50,Alien,930000
51,City Lights,180000
52,Memento,1300000
53,Apocalypse Now,690000
54,Raiders of the Lost Ark,1000000
55,Django Unchained,1600000
56,WALL-E,1100000
57,The Lives of Others,400000
58,Sunset Blvd.,220000
59,Paths of Glory,200000
60,The Shining,1000000
61,The Great Dictator,220000
62,Witness for the Prosecution,130000
63,Avengers: Infinity War,1100000
64,Aliens,730000
65,American Beauty,1100000
66,Dr. Strangelove,500000
67,Spider-Man: Into the Spider-Verse,650000
68,The Dark Knight Rises,1700000
69,Oldboy,620000
70,Joker,1500000
71,Amadeus,420000
72,Toy Story,1000000
73,Braveheart,1000000
74,Coco,580000
75,Inglourious Basterds,1500000
76,The Boat,250000
77,Princess Mononoke,420000
78,Once Upon a Time in America,360000
79,Requiem for a Dream,880000
80,Good Will Hunting,1100000
81,Toy Story 3,850000
82,Your Name.,320000
83,Singin' in the Rain,260000
84,Star Wars: Episode VI - Return of the Jedi,1100000
85,Reservoir Dogs,1000000
86,Eternal Sunshine of the Spotless Mind,1000000
87,2001: A Space Odyssey,700000
88,High and Low,50000
89,Citizen Kane,450000
90,Lawrence of Arabia,300000
91,M,160000
92,North by Northwest,330000
93,Vertigo,410000
94,Amelie,750000
95,A Clockwork Orange,850000
96,The Apartment,180000
97,Full Metal Jacket,750000
98,Double Indemnity,160000
99,Scarface,850000
100,Hamilton,100000
